id,key,value,type
46908586,is_in,"Benton,Washington,Wash.,WA,USA",regular
46908586,name,Richland Junction,regular
46908586,place,locality,regular
46908586,wikidata,Q7330637,regular
46908586,wikipedia,"en:Richland Junction, Washington",regular
46909322,railway,level_crossing,regular
46909327,railway,switch,regular
46909332,railway,switch,regular
46909338,railway,level_crossing,regular
46909342,railway,level_crossing,regular
46910182,highway,turning_circle,regular
46910211,highway,turning_circle,regular
46910224,railway,level_crossing,regular
46910559,highway,turning_circle,regular
46910582,highway,turning_circle,regular
46910611,highway,turning_circle,regular
46910993,highway,traffic_signals,regular
46911036,highway,turning_circle,regular
46911477,highway,turning_circle,regular
46911484,highway,traffic_signals,regular
46911484,traffic_signals,signal,regular
46912075,highway,turning_circle,regular
46912085,highway,turning_circle,regular
46912104,highway,turning_circle,regular
46912324,highway,turning_circle,regular
46912689,highway,turning_circle,regular
46912694,highway,traffic_signals,regular
46912694,traffic_signals,signal,regular
46912697,highway,traffic_signals,regular
46912697,traffic_signals,signal,regular
46912701,railway,level_crossing,regular
46912707,railway,level_crossing,regular
46912721,highway,traffic_signals,regular
46912721,traffic_signals,signal,regular
46913146,highway,turning_circle,regular
46913146,source,Bing,regular
46913175,highway,turning_circle,regular
46913354,highway,turning_circle,regular
46913354,source,Bing,regular
46913668,highway,turning_circle,regular
46914108,highway,traffic_signals,regular
46914108,traffic_signals,signal,regular
46914181,railway,level_crossing,regular
46914305,highway,turning_circle,regular
46914373,bus,yes,regular
46914373,name,Center Parkway & Klamath,regular
46914373,public_transport,stop_position,regular
46914391,highway,traffic_signals,regular
46914496,highway,turning_circle,regular
46914808,highway,turning_circle,regular
46914808,source,Bing,regular
46914887,highway,turning_circle,regular
46914935,highway,turning_circle,regular
46914935,source,Bing,regular
46915090,highway,turning_loop,regular
46915155,highway,turning_circle,regular
46915163,highway,turning_circle,regular
46915163,source,Bing,regular
46915268,highway,turning_loop,regular
46915452,highway,turning_circle,regular
46915452,source,Bing,regular
46915456,highway,turning_circle,regular
46915456,source,Bing,regular
46915477,highway,turning_circle,regular
46915477,source,Bing,regular
46915483,highway,turning_circle,regular
46915483,source,Bing,regular
46915521,highway,turning_circle,regular
46915533,highway,turning_loop,regular
46915542,highway,turning_circle,regular
46915572,highway,turning_loop,regular
46915808,highway,turning_circle,regular
46915808,source,Bing,regular
46915813,highway,turning_circle,regular
46915813,source,Bing,regular
46916208,highway,turning_circle,regular
46916208,source,Bing,regular
46916213,highway,traffic_signals,regular
46916213,traffic_signals,signal,regular
46916315,highway,turning_circle,regular
46916353,highway,turning_circle,regular
46916999,direction,0,regular
46916999,highway,give_way,regular
46917023,highway,turning_circle,regular
46917029,highway,turning_circle,regular
46917039,highway,turning_circle,regular
46917128,highway,turning_circle,regular
46917128,source,Bing,regular
46917138,highway,turning_circle,regular
46917138,source,Bing,regular
46917365,highway,turning_circle,regular
46917416,highway,traffic_signals,regular
46917416,traffic_signals,signal,regular
46917662,highway,turning_circle,regular
46917662,source,Bing,regular
46917690,highway,turning_circle,regular
46917703,highway,turning_circle,regular
46917769,highway,traffic_signals,regular
46917769,traffic_signals,signal,regular
46917787,bus,yes,regular
46917787,name,Gum & 4th avenue,regular
46917787,public_transport,stop_position,regular
46917935,highway,turning_circle,regular
46917947,highway,turning_circle,regular
46918006,highway,traffic_signals,regular
46918025,railway,level_crossing,regular
46918535,highway,turning_circle,regular
46918565,highway,turning_circle,regular
46918565,source,Bing,regular
46918740,highway,stop,regular
46918740,stop,all,regular
46918743,highway,stop,regular
46918743,stop,all,regular
46918750,crossing,controlled,regular
46918750,railway,level_crossing,regular
46918781,highway,traffic_signals,regular
46918781,traffic_signals,signal,regular
46918813,highway,traffic_signals,regular
46918813,source,Bing,regular
46918898,highway,turning_circle,regular
46918902,highway,turning_circle,regular
46918907,highway,turning_circle,regular
46918968,highway,turning_circle,regular
46918968,source,Bing,regular
46918977,highway,turning_circle,regular
46918977,source,Bing,regular
46918987,highway,turning_circle,regular
46919006,highway,turning_circle,regular
46919441,highway,turning_circle,regular
46919448,highway,turning_circle,regular
46919458,highway,turning_circle,regular
46919684,highway,turning_circle,regular
46919714,bus,yes,regular
46919714,name,19th Avenue & Newport,regular
46919714,public_transport,stop_position,regular
46919746,highway,turning_circle,regular
46919746,source,Bing,regular
46919852,highway,turning_circle,regular
46920440,highway,turning_circle,regular
46920500,highway,turning_circle,regular
46920637,highway,traffic_signals,regular
46920637,source,Bing,regular
46920637,traffic_signals,signal,regular
46920637,direction,both,traffic_signals
46920687,highway,traffic_signals,regular
46920687,traffic_signals,signal,regular
46920687,direction,both,traffic_signals
46920717,highway,traffic_signals,regular
46920717,traffic_signals,signal,regular
46920717,direction,both,traffic_signals
46920734,highway,traffic_signals,regular
46920734,traffic_signals,signal,regular
46920734,direction,both,traffic_signals
46920796,highway,turning_circle,regular
46920869,highway,turning_circle,regular
46920912,highway,traffic_signals,regular
46920938,highway,traffic_signals,regular
46920949,highway,traffic_signals,regular
46920949,traffic_signals,signal,regular
46920977,bus,yes,regular
46920977,name,Thayer & Torbett,regular
46920977,public_transport,stop_position,regular
46920982,highway,traffic_signals,regular
46920982,traffic_signals,blinker,regular
46921205,highway,turning_circle,regular
46921255,highway,traffic_signals,regular
46921273,railway,level_crossing,regular
46921285,highway,traffic_signals,regular
46921307,highway,traffic_signals,regular
46921469,highway,turning_circle,regular
46921635,highway,traffic_signals,regular
46921635,source,Bing,regular
46921993,highway,traffic_signals,regular
46921993,traffic_signals,signal,regular
46922640,highway,turning_circle,regular
46922965,highway,turning_circle,regular
46923564,highway,turning_circle,regular
46923585,access,yes,regular
46923585,fee,no,regular
46923585,highway,trailhead,regular
46923585,name,McBee,regular
46923861,highway,turning_circle,regular
46924585,highway,motorway_junction,regular
46924585,ref,88,regular
46924844,highway,motorway_junction,regular
46924844,ref,96,regular
46924876,highway,motorway_junction,regular
46924876,ref,96,regular
46924958,highway,motorway_junction,regular
46924958,ref,102,regular
46925028,highway,motorway_junction,regular
46925028,ref,104,regular
46925425,highway,turning_circle,regular
46925602,highway,turning_circle,regular
46925616,highway,turning_circle,regular
46926036,highway,turning_circle,regular
46926071,highway,turning_circle,regular
46926081,highway,turning_circle,regular
46926094,highway,turning_circle,regular
46926366,highway,turning_circle,regular
46926366,source,Bing,regular
46926379,highway,turning_circle,regular
46926379,source,Bing,regular
46926565,highway,turning_circle,regular
46926606,highway,turning_circle,regular
46927099,highway,turning_circle,regular
46927229,highway,turning_circle,regular
46927287,highway,turning_circle,regular
46927301,highway,turning_circle,regular
46927529,highway,turning_circle,regular
46927617,highway,turning_circle,regular
46927617,source,Bing,regular
46927699,highway,turning_circle,regular
46927699,source,Bing,regular
46928159,highway,turning_circle,regular
46928334,highway,turning_circle,regular
46928729,highway,turning_circle,regular
46928759,highway,turning_circle,regular
46928897,highway,turning_circle,regular
46929216,highway,turning_circle,regular
46929345,highway,turning_circle,regular
46929422,highway,stop,regular
46929422,stop,all,regular
46929529,highway,turning_circle,regular
46929529,source,Bing,regular
46929666,highway,turning_circle,regular
46929860,highway,traffic_signals,regular
46930202,highway,turning_circle,regular
46930281,highway,turning_circle,regular
46930281,source,Bing,regular
46930326,highway,turning_circle,regular
46930509,highway,turning_circle,regular
46930509,source,Bing,regular
46930541,highway,turning_circle,regular
46930541,source,Bing,regular
46930553,highway,turning_circle,regular
46930624,highway,traffic_signals,regular
46930624,traffic_signals,signal,regular
46930833,railway,level_crossing,regular
46930848,highway,traffic_signals,regular
46930855,highway,traffic_signals,regular
46930946,railway,level_crossing,regular
46931342,highway,turning_circle,regular
46931345,highway,turning_circle,regular
46931353,highway,turning_circle,regular
46931369,highway,turning_circle,regular
46931424,highway,turning_circle,regular
46931487,highway,turning_circle,regular
46931524,highway,turning_circle,regular
46931871,highway,turning_circle,regular
46931930,highway,turning_circle,regular
46931950,highway,turning_circle,regular
46931973,highway,turning_circle,regular
46932137,highway,turning_circle,regular
46932220,highway,turning_circle,regular
46932669,highway,turning_circle,regular
46932723,highway,turning_circle,regular
46932737,highway,turning_circle,regular
46932753,highway,turning_circle,regular
46932775,highway,turning_circle,regular
46932837,highway,turning_circle,regular
